,age,current_language,first_language,gender,script,affect,phone_position,file_name,chunk_name,phone_model
36,40-60,english,english,Woman,birds make new jingles,surprise,Hold your phone next to your face with your hand covering the mic 3/19,/media/data/shout-data/shout_data_28492b1e-a9ff-42fc-801f-75a79fde2051.wav,/final/chunk12.wav,iphone 11
37,60 and over,english,english,Man,birds make new jingles,joy,Place your phone in your pocket 6/19,/media/data/shout-data/shout_data_74cd50fa-eb3c-49f4-9900-811d880c461f.wav,/final/chunk10.wav,microsoft surface
38,60 and over,english,english,Man,birds make new jingles,joy,Place your phone in your pocket 6/19,/media/data/shout-data/shout_data_74cd50fa-eb3c-49f4-9900-811d880c461f.wav,/final/chunk11.wav,microsoft surface
39,60 and over,english,english,Man,birds make new jingles,joy,Place your phone in your pocket 6/19,/media/data/shout-data/shout_data_74cd50fa-eb3c-49f4-9900-811d880c461f.wav,/final/chunk12.wav,microsoft surface
40,18-24,English,Chinese,Woman,snow meteor down the chimney,neutral,Place phone on the opposite side of the room face down on a hard surface 13/19,/media/data/shout-data/shout_data_68be1fe7-0f7d-4304-954a-de4220117f9c.wav,/final/chunk11.wav,Iphone X
41,18-24,English,Chinese,Woman,snow meteor down the chimney,neutral,Place phone on the opposite side of the room face down on a hard surface 13/19,/media/data/shout-data/shout_data_68be1fe7-0f7d-4304-954a-de4220117f9c.wav,/final/chunk20.wav,Iphone X
42,18-24,English,English,Woman,snow meteor down the chimney,fear,Place phone on the opposite side of the room face down on a soft surface 14/19,/media/data/shout-data/shout_data_abaf5d40-9bca-4cf1-aba3-387eca43ef11.wav,/final/chunk20.wav,iphone 13 pro
43,18-24,English,English,Woman,snow meteor down the chimney,fear,Place phone on the opposite side of the room face down on a soft surface 14/19,/media/data/shout-data/shout_data_abaf5d40-9bca-4cf1-aba3-387eca43ef11.wav,/final/chunk30.wav,iphone 13 pro
45,25-39,English,English,Woman,another dog secretary show,sadness,Place phone on the opposite side of the room in a bag 15/19,/media/data/shout-data/shout_data_2cb1a1eb-cace-4ba6-9b61-4d69ecacdf01.wav,/final/chunk22.wav,iPhone 12
46,40-60,English,English,Woman,hungry action hippos fruit,sadness,Place phone on the opposite side of the room in a bag 15/19,/media/data/shout-data/shout_data_49d222ff-fcd5-46ed-9957-141b6b1533bb.wav,/final/chunk30.wav,Iphone
47,40-60,English,English,Woman,hungry action hippos fruit,sadness,Place phone on the opposite side of the room in a bag 15/19,/media/data/shout-data/shout_data_49d222ff-fcd5-46ed-9957-141b6b1533bb.wav,/final/chunk40.wav,Iphone
48,18-24,English,English,Non-Binary,fluffy baseboard yogurt division,neutral,Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19,/media/data/shout-data/shout_data_456d6828-e2df-42fe-8dfb-4f29aa9c8d63.wav,/final/chunk00.wav,iPhone SE
49,18-24,English,English,Non-Binary,fluffy baseboard yogurt division,neutral,Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19,/media/data/shout-data/shout_data_456d6828-e2df-42fe-8dfb-4f29aa9c8d63.wav,/final/chunk21.wav,iPhone SE
50,18-24,English,English,Non-Binary,fluffy baseboard yogurt division,neutral,Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19,/media/data/shout-data/shout_data_456d6828-e2df-42fe-8dfb-4f29aa9c8d63.wav,/final/chunk41.wav,iPhone SE
51,18-24,English,English,Non-Binary,the thunder break craze,surprise,Hold your phone next to your hip with the back of phone on your palm 4/19,/media/data/shout-data/shout_data_ccf7609d-5b3e-4017-acef-19522ff29a37.wav,/final/chunk10.wav,iPhone SE
52,18-24,English,English,Non-Binary,the thunder break craze,surprise,Hold your phone next to your hip with the back of phone on your palm 4/19,/media/data/shout-data/shout_data_ccf7609d-5b3e-4017-acef-19522ff29a37.wav,/final/chunk20.wav,iPhone SE
53,18-24,English,English,Non-Binary,the thunder break craze,surprise,Hold your phone next to your hip with the back of phone on your palm 4/19,/media/data/shout-data/shout_data_ccf7609d-5b3e-4017-acef-19522ff29a37.wav,/final/chunk31.wav,iPhone SE
54,60 and over,English ,English ,Man,another dog secretary show,sadness,Place your phone in a bag and hold it next to your hip 7/19,/media/data/shout-data/shout_data_d5a060ec-e3c0-4d83-bc4e-9b4288df4deb.wav,/final/chunk01.wav,Moto e
55,60 and over,English ,English ,Man,another dog secretary show,sadness,Place your phone in a bag and hold it next to your hip 7/19,/media/data/shout-data/shout_data_d5a060ec-e3c0-4d83-bc4e-9b4288df4deb.wav,/final/chunk11.wav,Moto e
56,60 and over,English ,English ,Man,another dog secretary show,sadness,Place your phone in a bag and hold it next to your hip 7/19,/media/data/shout-data/shout_data_d5a060ec-e3c0-4d83-bc4e-9b4288df4deb.wav,/final/chunk31.wav,Moto e
57,40-60,English ,English ,Woman,the thunder break craze,surprise,Hold your phone next to your face but with the mic/phone facing away from your face 2/19,/media/data/shout-data/shout_data_9686e0cf-2407-42b9-99fb-b69d54a3c853.wav,/final/chunk20.wav,iPhone 
58,40-60,English ,English ,Woman,the thunder break craze,surprise,Hold your phone next to your face but with the mic/phone facing away from your face 2/19,/media/data/shout-data/shout_data_9686e0cf-2407-42b9-99fb-b69d54a3c853.wav,/final/chunk31.wav,iPhone 
59,40-60,English,English,Woman,hungry action hippos fruit,disgust,Place your phone in your pocket 6/19,/media/data/shout-data/shout_data_da60fec3-1cf4-46a6-9c9f-1b3047bfbfb3.wav,/final/chunk10.wav,Samsung s9
60,40-60,English,English,Woman,hungry action hippos fruit,disgust,Place your phone in your pocket 6/19,/media/data/shout-data/shout_data_da60fec3-1cf4-46a6-9c9f-1b3047bfbfb3.wav,/final/chunk20.wav,Samsung s9
61,40-60,English,English,Woman,hungry action hippos fruit,disgust,Place your phone in your pocket 6/19,/media/data/shout-data/shout_data_da60fec3-1cf4-46a6-9c9f-1b3047bfbfb3.wav,/final/chunk30.wav,Samsung s9
62,40-60,English,spanish,Woman,banana and mustard sandwiches,neutral,Place phone 1-2 meters away face down on a hard surface 9/19,/media/data/shout-data/shout_data_ad7a1045-0dae-4762-ad3d-2645dabd24b5.wav,/final/chunk22.wav,iOS
63,25-39,English ,English ,Woman,five special guest treasures,fear,Place phone 1-2 meters away face up on any surface 8/19,/media/data/shout-data/shout_data_f4f9eec3-83c5-401b-ac59-8432378d42a4.wav,/final/chunk10.wav,One plus 7T
64,25-39,English ,English ,Woman,five special guest treasures,fear,Place phone 1-2 meters away face up on any surface 8/19,/media/data/shout-data/shout_data_f4f9eec3-83c5-401b-ac59-8432378d42a4.wav,/final/chunk31.wav,One plus 7T
65,25-39,English ,English ,Woman,five special guest treasures,fear,Place phone 1-2 meters away face up on any surface 8/19,/media/data/shout-data/shout_data_f4f9eec3-83c5-401b-ac59-8432378d42a4.wav,/final/chunk41.wav,One plus 7T
66,40-60,English ,English ,Woman,hungry action hippos fruit,anger,Place phone 1-2 meters away face up on any surface 8/19,/media/data/shout-data/shout_data_5f0d4af4-93c1-4f98-baab-45da82fcd7a4.wav,/final/chunk11.wav,Iphone11
67,40-60,English ,English ,Woman,hungry action hippos fruit,anger,Place phone 1-2 meters away face up on any surface 8/19,/media/data/shout-data/shout_data_5f0d4af4-93c1-4f98-baab-45da82fcd7a4.wav,/final/chunk13.wav,Iphone11
68,40-60,English ,English ,Woman,hungry action hippos fruit,anger,Place phone 1-2 meters away face up on any surface 8/19,/media/data/shout-data/shout_data_5f0d4af4-93c1-4f98-baab-45da82fcd7a4.wav,/final/chunk21.wav,Iphone11
69,60 and over,English,English,Man,wolf ring lights are fantastic,surprise,Place phone as far away as possible while on on the opposite side of a wall from you face up on any surface 16/19,/media/data/shout-data/shout_data_20b624eb-9c61-4743-baeb-c57560184b13.wav,/final/chunk01.wav,I Phone 13
70,60 and over,English,English,Man,wolf ring lights are fantastic,surprise,Place phone as far away as possible while on on the opposite side of a wall from you face up on any surface 16/19,/media/data/shout-data/shout_data_20b624eb-9c61-4743-baeb-c57560184b13.wav,/final/chunk21.wav,I Phone 13
71,60 and over,English,English,Man,wolf ring lights are fantastic,surprise,Place phone as far away as possible while on on the opposite side of a wall from you face up on any surface 16/19,/media/data/shout-data/shout_data_20b624eb-9c61-4743-baeb-c57560184b13.wav,/final/chunk23.wav,I Phone 13
72,40-60,English ,English ,Woman,wolf ring lights are fantastic,sadness,Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19,/media/data/shout-data/shout_data_46f85e88-cb66-4160-a065-c62e87c8a3df.wav,/final/chunk20.wav,Apple iPhone 
73,40-60,English ,English ,Woman,wolf ring lights are fantastic,sadness,Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19,/media/data/shout-data/shout_data_46f85e88-cb66-4160-a065-c62e87c8a3df.wav,/final/chunk30.wav,Apple iPhone 
74,25-39,English,Tagalog,Woman,wolf ring lights are fantastic,neutral,Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19,/media/data/shout-data/shout_data_684c15d3-926b-4b86-bb22-7f81d1385312.wav,/final/chunk11.wav,Iphone11
75,25-39,English,Tagalog,Woman,wolf ring lights are fantastic,neutral,Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19,/media/data/shout-data/shout_data_684c15d3-926b-4b86-bb22-7f81d1385312.wav,/final/chunk21.wav,Iphone11
76,25-39,English,Tagalog,Woman,wolf ring lights are fantastic,neutral,Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19,/media/data/shout-data/shout_data_684c15d3-926b-4b86-bb22-7f81d1385312.wav,/final/chunk23.wav,Iphone11
77,60 and over,English ,English ,Man,heavy undersea birthday pumpkins,neutral,Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19,/media/data/shout-data/shout_data_7ac2261b-e89d-4588-ac47-be451e25de40.wav,/final/chunk01.wav,Moto e
78,60 and over,English ,English ,Man,heavy undersea birthday pumpkins,neutral,Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19,/media/data/shout-data/shout_data_7ac2261b-e89d-4588-ac47-be451e25de40.wav,/final/chunk20.wav,Moto e
79,60 and over,English ,English ,Man,heavy undersea birthday pumpkins,neutral,Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19,/media/data/shout-data/shout_data_7ac2261b-e89d-4588-ac47-be451e25de40.wav,/final/chunk31.wav,Moto e
80,40-60,English,English,Woman,five special guest treasures,surprise,Place phone as far away as possible while on on the opposite side of a wall from you face down on a soft surface 18/19,/media/data/shout-data/shout_data_3f87c52e-a3aa-425e-8091-4f228a9dbf3c.wav,/final/chunk10.wav,Android
81,40-60,English,English,Woman,five special guest treasures,surprise,Place phone as far away as possible while on on the opposite side of a wall from you face down on a soft surface 18/19,/media/data/shout-data/shout_data_3f87c52e-a3aa-425e-8091-4f228a9dbf3c.wav,/final/chunk11.wav,Android
82,40-60,English,English,Woman,five special guest treasures,surprise,Place phone as far away as possible while on on the opposite side of a wall from you face down on a soft surface 18/19,/media/data/shout-data/shout_data_3f87c52e-a3aa-425e-8091-4f228a9dbf3c.wav,/final/chunk12.wav,Android
83,25-39,English,English,Man,fluffy baseboard yogurt division,joy,Place phone on the opposite side of the room face down on a soft surface 14/19,/media/data/shout-data/shout_data_0ae34afa-62a0-49cb-ab3a-4d882c2c124b.wav,/final/chunk30.wav,iPhone SE 2020 Model
84,25-39,English,English,Man,fluffy baseboard yogurt division,joy,Place phone on the opposite side of the room face down on a soft surface 14/19,/media/data/shout-data/shout_data_0ae34afa-62a0-49cb-ab3a-4d882c2c124b.wav,/final/chunk61.wav,iPhone SE 2020 Model
85,40-60,English,English,Woman,another dog secretary show,joy,Place phone 1-2 meters away in a bag 11/19,/media/data/shout-data/shout_data_9c3712f3-36c8-441e-869d-8b925c5226e6.wav,/final/chunk10.wav,Samsung s9
86,40-60,English,English,Woman,another dog secretary show,joy,Place phone 1-2 meters away in a bag 11/19,/media/data/shout-data/shout_data_9c3712f3-36c8-441e-869d-8b925c5226e6.wav,/final/chunk30.wav,Samsung s9
87,40-60,English ,English ,Man,five dollar slaw onion cure,surprise,Hold your phone next to your face but with the mic/phone facing away from your face 2/19,/media/data/shout-data/shout_data_21e4d436-16a6-4939-9c2f-b9af67ae2f36.wav,/final/chunk30.wav,iPhone Xs Max
88,40-60,English ,English ,Man,five dollar slaw onion cure,surprise,Hold your phone next to your face but with the mic/phone facing away from your face 2/19,/media/data/shout-data/shout_data_21e4d436-16a6-4939-9c2f-b9af67ae2f36.wav,/final/chunk50.wav,iPhone Xs Max
89,40-60,English ,English ,Man,five dollar slaw onion cure,surprise,Hold your phone next to your face but with the mic/phone facing away from your face 2/19,/media/data/shout-data/shout_data_21e4d436-16a6-4939-9c2f-b9af67ae2f36.wav,/final/chunk60.wav,iPhone Xs Max
90,25-39,English,English,Man,another dog secretary show,fear,Hold your phone next to your face with your hand covering the mic 3/19,/media/data/shout-data/shout_data_949d8371-2535-48c5-86a9-378054bb320b.wav,/final/chunk11.wav,IPhone
91,25-39,English,English,Man,another dog secretary show,fear,Hold your phone next to your face with your hand covering the mic 3/19,/media/data/shout-data/shout_data_949d8371-2535-48c5-86a9-378054bb320b.wav,/final/chunk21.wav,IPhone
92,25-39,English,English,Man,another dog secretary show,fear,Hold your phone next to your face with your hand covering the mic 3/19,/media/data/shout-data/shout_data_949d8371-2535-48c5-86a9-378054bb320b.wav,/final/chunk31.wav,IPhone
93,18-24,English ,Swahili ,Man,five special guest treasures,disgust,Hold your phone next to your face with your hand covering the mic 3/19,/media/data/shout-data/shout_data_1fb9c6ce-07ec-4b55-9d9c-cec43157c7e8.wav,/final/chunk11.wav,Samsung A52
94,18-24,English ,Swahili ,Man,five special guest treasures,disgust,Hold your phone next to your face with your hand covering the mic 3/19,/media/data/shout-data/shout_data_1fb9c6ce-07ec-4b55-9d9c-cec43157c7e8.wav,/final/chunk22.wav,Samsung A52
95,18-24,English ,English ,Woman,another dog secretary show,neutral,Place phone 1-2 meters away face up on any surface 8/19,/media/data/shout-data/shout_data_c86966a6-266a-4b68-a450-b71be510765b.wav,/final/chunk10.wav,iPhone 12
96,18-24,English ,English ,Woman,another dog secretary show,neutral,Place phone 1-2 meters away face up on any surface 8/19,/media/data/shout-data/shout_data_c86966a6-266a-4b68-a450-b71be510765b.wav,/final/chunk20.wav,iPhone 12
97,18-24,English ,English ,Woman,another dog secretary show,neutral,Place phone 1-2 meters away face up on any surface 8/19,/media/data/shout-data/shout_data_c86966a6-266a-4b68-a450-b71be510765b.wav,/final/chunk30.wav,iPhone 12
99,40-60,English ,English ,Woman,join the Ear Look club,fear,Place phone 1-2 meters away face down on a soft surface 10/19,/media/data/shout-data/shout_data_33edd7cf-0209-45ad-89da-6c3e69d0b5af.wav,/final/chunk50.wav,iPhone se
100,40-60,English,English,Man,banana and mustard sandwiches,neutral,Hold your phone next to your hip with your hand covering the mic 5/19,/media/data/shout-data/shout_data_8b12154a-ac79-4560-b108-9bde561b8027.wav,/final/chunk10.wav,Samsung
101,40-60,English,English,Man,banana and mustard sandwiches,neutral,Hold your phone next to your hip with your hand covering the mic 5/19,/media/data/shout-data/shout_data_8b12154a-ac79-4560-b108-9bde561b8027.wav,/final/chunk20.wav,Samsung
102,60 and over,English,English,Woman,another dog secretary show,surprise,Place phone as far away as possible while on on the opposite side of a wall from you face down on a hard surface 17/19,/media/data/shout-data/shout_data_4b02236c-4083-45cc-8ad2-a016673ee58c.wav,/final/chunk11.wav,IPhone
103,60 and over,English,English,Woman,another dog secretary show,surprise,Place phone as far away as possible while on on the opposite side of a wall from you face down on a hard surface 17/19,/media/data/shout-data/shout_data_4b02236c-4083-45cc-8ad2-a016673ee58c.wav,/final/chunk12.wav,IPhone
104,60 and over,English,English,Woman,another dog secretary show,surprise,Place phone as far away as possible while on on the opposite side of a wall from you face down on a hard surface 17/19,/media/data/shout-data/shout_data_4b02236c-4083-45cc-8ad2-a016673ee58c.wav,/final/chunk13.wav,IPhone
106,25-39,English,English ,Woman,join the Ear Look club,sadness,Hold your phone next to your face with your hand covering the mic 3/19,/media/data/shout-data/shout_data_ec347b5a-18ff-41bc-b5e2-c02aa55abf60.wav,/final/chunk31.wav,Iphone
107,25-39,English,English ,Woman,join the Ear Look club,sadness,Hold your phone next to your face with your hand covering the mic 3/19,/media/data/shout-data/shout_data_ec347b5a-18ff-41bc-b5e2-c02aa55abf60.wav,/final/chunk40.wav,Iphone
108,40-60,English,Italian,Man,another dog secretary show,surprise,Place phone on the opposite side of the room face up on any surface 12/19,/media/data/shout-data/shout_data_6df385ea-b7ee-44c6-ad1d-7ea3836854cb.wav,/final/chunk30.wav,iPhone 6
109,60 and over,English ,English ,Man,five dollar slaw onion cure,anger,Place phone on the opposite side of the room face up on any surface 12/19,/media/data/shout-data/shout_data_e09a0211-1622-46c0-81e1-43de2d73d09c.wav,/final/chunk01.wav,Moto e
110,60 and over,English ,English ,Man,five dollar slaw onion cure,anger,Place phone on the opposite side of the room face up on any surface 12/19,/media/data/shout-data/shout_data_e09a0211-1622-46c0-81e1-43de2d73d09c.wav,/final/chunk11.wav,Moto e
111,60 and over,English ,English ,Man,five dollar slaw onion cure,anger,Place phone on the opposite side of the room face up on any surface 12/19,/media/data/shout-data/shout_data_e09a0211-1622-46c0-81e1-43de2d73d09c.wav,/final/chunk31.wav,Moto e
112,25-39,English,English ,Man,wolf ring lights are fantastic,fear,Place phone 1-2 meters away face down on a soft surface 10/19,/media/data/shout-data/shout_data_49ebd583-20c5-44e0-9bf2-157330f44216.wav,/final/chunk31.wav,s21 ultra
113,25-39,English,English ,Man,wolf ring lights are fantastic,fear,Place phone 1-2 meters away face down on a soft surface 10/19,/media/data/shout-data/shout_data_49ebd583-20c5-44e0-9bf2-157330f44216.wav,/final/chunk33.wav,s21 ultra
114,40-60,English ,English ,Man,the thunder break craze,anger,Hold your phone next to your hip with your hand covering the mic 5/19,/media/data/shout-data/shout_data_162f331c-d751-4a33-acd3-4962acc09152.wav,/final/chunk31.wav,iPhone 12 mini
115,40-60,English ,English ,Man,the thunder break craze,anger,Hold your phone next to your hip with your hand covering the mic 5/19,/media/data/shout-data/shout_data_162f331c-d751-4a33-acd3-4962acc09152.wav,/final/chunk40.wav,iPhone 12 mini
116,18-24,English ,English ,Woman,heavy undersea birthday pumpkins,surprise,Place phone 1-2 meters away face down on a hard surface 9/19,/media/data/shout-data/shout_data_c864b5b8-74cf-4d7c-8d24-5b46d670306e.wav,/final/chunk10.wav,Iphone
117,18-24,English ,English ,Woman,heavy undersea birthday pumpkins,surprise,Place phone 1-2 meters away face down on a hard surface 9/19,/media/data/shout-data/shout_data_c864b5b8-74cf-4d7c-8d24-5b46d670306e.wav,/final/chunk20.wav,Iphone
118,18-24,English ,English ,Woman,heavy undersea birthday pumpkins,surprise,Place phone 1-2 meters away face down on a hard surface 9/19,/media/data/shout-data/shout_data_c864b5b8-74cf-4d7c-8d24-5b46d670306e.wav,/final/chunk30.wav,Iphone
119,25-39,English ,French,Woman,join the Ear Look club,fear,Place phone as far away as possible while on on the opposite side of a wall from you in a bag 19/19,/media/data/shout-data/shout_data_63c48beb-32d9-488a-bd4e-298fa62ee478.wav,/final/chunk30.wav,Samsung
120,25-39,English ,French,Woman,join the Ear Look club,fear,Place phone as far away as possible while on on the opposite side of a wall from you in a bag 19/19,/media/data/shout-data/shout_data_63c48beb-32d9-488a-bd4e-298fa62ee478.wav,/final/chunk60.wav,Samsung
121,25-39,English ,French,Woman,join the Ear Look club,fear,Place phone as far away as possible while on on the opposite side of a wall from you in a bag 19/19,/media/data/shout-data/shout_data_63c48beb-32d9-488a-bd4e-298fa62ee478.wav,/final/chunk80.wav,Samsung
122,40-60,English ,English,Woman,hungry action hippos fruit,disgust,Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19,/media/data/shout-data/shout_data_7ad7164e-b4ad-4325-97ea-4d482e7f8532.wav,/final/chunk21.wav,Samsung note 20
